NUMBER,TIMES PULLED,TYPE,SHINY,TEAM,NATION,NAME
557,1,FEM SQUAD,NO,NAPOLI,ND,NAPOLI FEMININE SQUAD
558,0,FEM SQUAD,NO,POMIGLIANO,ND,POMIGLIANO FEMININE SQUAD
559,0,FEM SQUAD,NO,ROMA,ND,ROMA FEMININE SQUAD
560,0,FEM SQUAD,NO,SAMPDORIA,ND,SAMPDORIA FEMININE SQUAD
561,0,FEM SQUAD,NO,SASSUOLO,ND,SASSUOLO FEMININE SQUAD
562,1,SERIE B CREST,YES,ALESSANDRIA,ND,ALESSANDRIA CREST
563,0,SERIE B TRIPLE PLAYER,NO,ALESSANDRIA,ND,MATTEO PISSERI / ALESSANDRO RUSSO / MATTEO DI GENNARO
564,1,SERIE B TRIPLE PLAYER,NO,ALESSANDRIA,ND,SIMONE BENEDETTI / LUCA PARODI / GIUSEPPE PRESTIA
565,0,SERIE B TRIPLE PLAYER,NO,ALESSANDRIA,ND,ABOU-MALAL BA / ANDREA BEGHETTO / MATTIA MUSTACCHIO
566,1,SERIE B TRIPLE PLAYER,NO,ALESSANDRIA,ND,RICCARDO CHIARELLO / TOMMASO MILANESE / FEDERICO CASARINI
567,0,SERIE B TRIPLE PLAYER,NO,ALESSANDRIA,ND,GABRIEL LUNETTA / SIMONE CORAZZA / ANDREA ARRIGHINI
568,0,SERIE B TRIPLE PLAYER,NO,ALESSANDRIA,ND,MICHELE MARCONI / FRANCESCO ORLANDO / SIMONE PALOMBI
569,1,SERIE B CREST,YES,ASCOLI,ND,ASCOLI CREST
570,0,SERIE B TRIPLE PLAYER,NO,ASCOLI,ND,NICOLA LEALI / ENRICO GUARNA / ERIC BOTTEGHIN
571,0,SERIE B TRIPLE PLAYER,NO,ASCOLI,ND,DANILO QUARANTA / GIANFILIPPO FELICIOLI / FEDERICO BASCHIROTTO
572,0,SERIE B TRIPLE PLAYER,NO,ASCOLI,ND,ANASTASIOS AVLONITIS / TOMMASO D'ORAZIO / DARIO ŠARIĆ
573,1,SERIE B TRIPLE PLAYER,NO,ASCOLI,ND,FABIO MAISTRO / MIRKO ERAMO / FABRIZIO CALIGARA
574,0,SERIE B TRIPLE PLAYER,NO,ASCOLI,ND,ABDELHAMID SABIRI / MARCEL BUCHEL / FEDERICO DIONISI
575,0,SERIE B TRIPLE PLAYER,NO,ASCOLI,ND,DIEGO FABBRINI / ATANAS ILIEV / SOUFIANE BIDAOUI
576,0,SERIE B CREST,YES,BENEVENTO,ND,BENEVENTO CREST
577,0,SERIE B TRIPLE PLAYER,NO,BENEVENTO,ND,ALBERTO PALEARI / NICOLO MANFREDINI / FEDERICO BARBA
578,0,SERIE B TRIPLE PLAYER,NO,BENEVENTO,ND,DAAM FOULON / ALESSANDRO VOGLIACCO / GAETANO LETIZIA
579,0,SERIE B TRIPLE PLAYER,NO,BENEVENTO,ND,KAMIL GLIK / SALVATORE ELIA / ARTUR IONITA
580,1,SERIE B TRIPLE PLAYER,NO,BENEVENTO,ND,GENNARO ACAMPORA / ANDRÉS TELLO / RICCARDO IMPROTA
581,0,SERIE B TRIPLE PLAYER,NO,BENEVENTO,ND,GIACOMO CALÒ / ENRICO BRIGNOLA / GIANLUCA LAPADULA
582,0,SERIE B TRIPLE PLAYER,NO,BENEVENTO,ND,GABRIELE MONCINI / MARCO SAU / ROBERTO INSIGNE
583,1,SERIE B CREST,YES,BRESCIA,ND,BRESCIA CREST
584,0,SERIE B TRIPLE PLAYER,NO,BRESCIA,ND,JESSE JORONEN / OSCAR LINNER / MARKO PAJAC
585,1,SERIE B TRIPLE PLAYER,NO,BRESCIA,ND,ANDREA CISTANA / MASSIMILIANO MANGRAVITI / JHON CHANCELLOR
586,1,SERIE B TRIPLE PLAYER,NO,BRESCIA,ND,ALES MATEJU / MASSIMO BERTAGNOLI / DIMITRI BISOLI
587,1,SERIE B TRIPLE PLAYER,NO,BRESCIA,ND,TOM VAN DE LOOI / MEHDI LERIS / EMANUELE NDOJ
588,1,SERIE B TRIPLE PLAYER,NO,BRESCIA,ND,MATTEO TRAMONI / FILIP JAGIELLO / FLORIAN AYE
589,0,SERIE B TRIPLE PLAYER,NO,BRESCIA,ND,RODRIGO PALACIO / STEFANO MOREO / RIAD BAJIC
590,0,SERIE B CREST,YES,CITTADELLA,ND,CITTADELLA CREST
591,0,SERIE B TRIPLE PLAYER,NO,CITTADELLA,ND,ELHAN KASTRATI / LUCA MANIERO / TOMMASO CASSANDRO
592,0,SERIE B TRIPLE PLAYER,NO,CITTADELLA,ND,DANIELE DONNARUMMA / DAVIDE ADORNI / AMEDEO BENEDETTI
593,1,SERIE B TRIPLE PLAYER,NO,CITTADELLA,ND,DOMENICO FRARE / ROMANO PERTICONE / SIMONE BRANCA
594,0,SERIE B TRIPLE PLAYER,NO,CITTADELLA,ND,NICOLA PAVAN / ANDREA DANZI / CHRISTIAN D'URSO
595,0,SERIE B TRIPLE PLAYER,NO,CITTADELLA,ND,ALESSIO VITA / ENRICO BALDINI / ORJI OKWONKWO
596,1,SERIE B TRIPLE PLAYER,NO,CITTADELLA,ND,CAMILLO TAVERNELLI / MAMADOU TOUNKARA / MIRKO ANTONUCCI
597,0,SERIE B CREST,YES,COMO,ND,COMO CREST
598,1,SERIE B TRIPLE PLAYER,NO,COMO,ND,STEFANO GORI / DAVIDE FACCHIN / MATTEO SOLINI
599,0,SERIE B TRIPLE PLAYER,NO,COMO,ND,LUCA VIGNALI / MARCO VARNIER / FILIPPO SCAGLIA
600,0,SERIE B TRIPLE PLAYER,NO,COMO,ND,NIKOLAS IOANNOU / ALESSANDRO BELLEMO / TOMMASO ARRIGONI
601,1,SERIE B TRIPLE PLAYER,NO,COMO,ND,VITTORIO PARIGINI / ELVIS KABASHI / MOUTIR CHAJIA
602,0,SERIE B TRIPLE PLAYER,NO,COMO,ND,ALESSIO IOVINE / ANTONINO LA GUMINA / ALBERTO CERRI
603,0,SERIE B TRIPLE PLAYER,NO,COMO,ND,ETTORE GLIOZZI / ALESSANDRO GABRIELLONI / MASSIMILIANO GATTO
604,0,SERIE B CREST,YES,CONSENZA,ND,CONSENZA CREST
605,1,SERIE B TRIPLE PLAYER,NO,CONSENZA,ND,MAURO VIGORITO / UMBERTO SARACCO / ANDREA TIRITIELLO
606,0,SERIE B TRIPLE PLAYER,NO,CONSENZA,ND,SANASI SY / ROBERTO PIRRELLO / MICHELE RIGIONE
607,2,SERIE B TRIPLE PLAYER,NO,CONSENZA,ND,ALESSANDRO MINELLI / ANGELO CORSI / SAULI VÄISÄNEN
608,0,SERIE B TRIPLE PLAYER,NO,CONSENZA,ND,REDA BOULTAM / ANDREA VALLOCCHIA / ALBERTO GERBO
609,0,SERIE B TRIPLE PLAYER,NO,CONSENZA,ND,LUCA PALMIERO / MARCO CARRARO / MARIO SITUM
610,1,SERIE B TRIPLE PLAYER,NO,CONSENZA,ND,GIUSEPPE CASO / VINCENZO MILLICO / GABRIELE GORI
611,2,SERIE B CREST,YES,CREMONESE,ND,CREMONESE CREST
612,0,SERIE B TRIPLE PLAYER,NO,CREMONESE,ND,MARCO CARNESECCHI / MOUHAMADOU SARR / CALEB OKOLI
613,0,SERIE B TRIPLE PLAYER,NO,CREMONESE,ND,EMANUELE VALERI / LEONARDO SERNICOLA / LUCA RAVANELLI
614,0,SERIE B TRIPLE PLAYER,NO,CREMONESE,ND,MATTEO BIANCHETTI / NICOLÒ FAGIOLI / LUCA VALZANIA
615,0,SERIE B TRIPLE PLAYER,NO,CREMONESE,ND,MICHELE CASTAGNETTI / GIANLUCA GAETANO / PAOLO BARTOLOMEI
616,0,SERIE B TRIPLE PLAYER,NO,CREMONESE,ND,LUCA VIDO / DANIEL CIOFANI / JAIME BAEZ
617,1,SERIE B TRIPLE PLAYER,NO,CREMONESE,ND,CRISTIAN BUONAIUTO / LUCA ZANIMACCHIA / SAMUEL DI CARMINE
618,2,SERIE B CREST,YES,CROTONE,ND,CROTONE CREST
619,0,SERIE B TRIPLE PLAYER,NO,CROTONE,ND,MARCO FESTA / NIKITA CONTINI / SIMONE CANESTRELLI
620,0,SERIE B TRIPLE PLAYER,NO,CROTONE,ND,NEHUEN PAZ / IONUT NEDELCEARU / DAVIDE MONDONICO
621,0,SERIE B TRIPLE PLAYER,NO,CROTONE,ND,GIUSEPPE CUOMO / VASILE MOGOȘ / NAHUEL ESTEVEZ
622,0,SERIE B TRIPLE PLAYER,NO,CROTONE,ND,MARCO SALA / SALVATORE MOLINA / AHMAD BENALI
623,0,SERIE B TRIPLE PLAYER,NO,CROTONE,ND,MILOS VULIĆ / NICCOLÒ ZANELLATO / GIUSEPPE BORELLO
624,0,SERIE B TRIPLE PLAYER,NO,CROTONE,ND,SAMUELE MULATTIERI / MIRKO MARIĆ / AUGUSTUS KARGBO
625,1,SERIE B CREST,YES,FROSINONE,ND,FROSINONE CREST
626,0,SERIE B TRIPLE PLAYER,NO,FROSINONE,ND,FEDERICO RAVAGLIA / VICTOR DE LUCIA / MATTEO COTALI
627,0,SERIE B TRIPLE PLAYER,NO,FROSINONE,ND,FRANCESCO ZAMPANO / PRZEMYSLAW SZYMINSKI / FEDERICO GATTI
628,1,SERIE B TRIPLE PLAYER,NO,FROSINONE,ND,NICOLO BRIGHENTI / DANIEL BOLOCA / MATTEO RICCI
629,1,SERIE B TRIPLE PLAYER,NO,FROSINONE,ND,LUCA GARRITANO / RAFFAELE MAIELLO / MARCUS ROHDEN
630,0,SERIE B TRIPLE PLAYER,NO,FROSINONE,ND,ALESSIO TRIBUZZI / ANDRIJA NOVAKOVICH / GABRIEL CHARPENTIER
631,0,SERIE B TRIPLE PLAYER,NO,FROSINONE,ND,CAMILLO CIANO / LUIGI CANOTTO / ALESSIO ZERBIN
632,0,SERIE B CREST,YES,LECCE,ND,LECCE CREST
633,0,SERIE B TRIPLE PLAYER,NO,LECCE,ND,GABRIEL / MARCO BLEVE / ALESSANDRO TUIA
634,0,SERIE B TRIPLE PLAYER,NO,LECCE,ND,ANTONINO GALLO / ANTONIO BARRECA / BIAGIO MECCARIELLO
635,0,SERIE B TRIPLE PLAYER,NO,LECCE,ND,FABIO LUCIONI / VALENTIN GENDREY / ALEXIS BLIN
636,0,SERIE B TRIPLE PLAYER,NO,LECCE,ND,HELGASON / MARIO GARGIULO / MORTEN HJULMAND
637,2,SERIE B TRIPLE PLAYER,NO,LECCE,ND,ZAN MAJER / JOHN BJORKENGREN / MASSIMO CODA
638,0,SERIE B TRIPLE PLAYER,NO,LECCE,ND,GABRIEL STREFEZZA / MARCO OLIVIERI / FRANCESCO DI MARIANO
639,1,SERIE B CREST,YES,L. R. VICENZA,ND,L. R. VICENZA CREST
640,0,SERIE B TRIPLE PLAYER,NO,L. R. VICENZA,ND,MATTEO GRANDI / SEMUEL PIZZIGNACCO / MATTEO BRUSCAGIN
